dag_id,task_id,start_date,end_date,duration
dw_sf_3,create_staging_schema,2024-12-22 17:10:04.711366+00,2024-12-22 17:10:04.992986+00,0
dw_sf_3,load_txt_csv_sources_to_staging,2024-12-22 17:10:05.526461+00,2024-12-22 17:10:35.963953+00,30
dw_sf_3,convert_customermgmt_xml_to_csv,2024-12-22 17:10:05.552891+00,2024-12-22 17:11:11.743975+00,66
dw_sf_3,load_finwire_to_staging,2024-12-22 17:10:05.614466+00,2024-12-22 17:10:06.054101+00,0
dw_sf_3,parse_finwire,2024-12-22 17:10:06.803682+00,2024-12-22 17:10:22.748889+00,16
dw_sf_3,load_customer_mgmt_to_staging,2024-12-22 17:11:12.409128+00,2024-12-22 17:11:12.675773+00,0
dw_sf_3,create_master_schema,2024-12-22 17:11:14.165013+00,2024-12-22 17:11:14.39109+00,0
dw_sf_3,load_master_taxrate,2024-12-22 17:11:15.456948+00,2024-12-22 17:11:15.662492+00,0
dw_sf_3,transform_load_master_dimcompany,2024-12-22 17:11:15.48583+00,2024-12-22 17:11:15.713625+00,0
dw_sf_3,load_master_industry,2024-12-22 17:11:15.513741+00,2024-12-22 17:11:15.745926+00,0
dw_sf_3,load_master_statustype,2024-12-22 17:11:15.538647+00,2024-12-22 17:11:15.761274+00,0
dw_sf_3,transform_load_master_dimtime,2024-12-22 17:11:15.564521+00,2024-12-22 17:11:15.926991+00,0
dw_sf_3,transform_load_master_dimdate,2024-12-22 17:11:15.596228+00,2024-12-22 17:11:15.909092+00,0
dw_sf_3,load_master_tradetype,2024-12-22 17:11:15.627738+00,2024-12-22 17:11:15.855208+00,0
dw_sf_3,transform_load_master_prospect,2024-12-22 17:11:16.729768+00,2024-12-22 17:11:17.028903+00,0
dw_sf_3,load_master_dimessages_dimcompany,2024-12-22 17:11:16.762152+00,2024-12-22 17:11:16.972044+00,0
dw_sf_3,transform_load_master_dimbroker,2024-12-22 17:11:16.79106+00,2024-12-22 17:11:17.038535+00,0
dw_sf_3,transform_load_master_financial,2024-12-22 17:11:16.821384+00,2024-12-22 17:12:39.911075+00,83
dw_sf_3,transform_load_master_dimsecurity,2024-12-22 17:11:16.850951+00,2024-12-22 17:11:21.419272+00,5
dw_sf_3,transform_load_master_dimcustomer,2024-12-22 17:11:17.94464+00,2024-12-22 17:11:18.362903+00,0
dw_sf_3,transform_load_master_dimaccount,2024-12-22 17:11:19.117107+00,2024-12-22 17:11:19.540966+00,0
dw_sf_3,update_master_prospect,2024-12-22 17:11:19.141715+00,2024-12-22 17:11:19.580693+00,0
dw_sf_3,load_master_dimessages_dimcustomer,2024-12-22 17:11:19.184964+00,2024-12-22 17:11:19.377308+00,0
dw_sf_3,transform_load_master_factcashbalances,2024-12-22 17:11:20.487337+00,2024-12-22 17:11:22.251634+00,2
dw_sf_3,transform_load_master_factwatches,2024-12-22 17:11:22.578731+00,2024-12-22 17:11:33.297813+00,11
dw_sf_3,transform_load_master_factmarkethistory,2024-12-22 17:12:40.87357+00,2024-12-22 17:16:57.65243+00,257
dw_sf_3,load_master_dimessages_factmarkethistory,2024-12-22 17:16:58.123557+00,2024-12-22 17:16:58.445465+00,0
dw_sf_3,transform_load_master_dimtrade,2024-12-22 17:16:59.246976+00,2024-12-22 17:17:25.321037+00,26
dw_sf_3,transform_load_master_factholdings,2024-12-22 17:17:26.779861+00,2024-12-22 17:17:27.295395+00,1
dw_sf_3,load_master_dimessages_dimtrade,2024-12-22 17:17:26.80402+00,2024-12-22 17:17:27.054242+00,0
