dag_id,task_id,start_date,end_date,duration
dw_sf_3,create_processing_schema,2024-12-24 16:54:12.728347+00,2024-12-24 16:54:12.94933+00,0
dw_sf_3,convert_customermgmt_xml_to_csv,2024-12-24 16:54:13.838008+00,2024-12-24 16:54:15.961173+00,2
dw_sf_3,load_finwire_to_processing,2024-12-24 16:54:13.867587+00,2024-12-24 16:54:14.362224+00,0
dw_sf_3,load_txt_csv_sources_to_processing,2024-12-24 16:54:13.8991+00,2024-12-24 16:54:44.695748+00,31
dw_sf_3,parse_finwire,2024-12-24 16:54:15.166685+00,2024-12-24 16:54:32.656574+00,17
dw_sf_3,load_customer_mgmt_to_processing,2024-12-24 16:54:17.232591+00,2024-12-24 16:54:17.502598+00,0
dw_sf_3,create_master_schema,2024-12-24 16:54:45.206108+00,2024-12-24 16:54:45.404293+00,0
dw_sf_3,load_directly_master_tables,2024-12-24 16:54:46.477672+00,2024-12-24 16:54:46.918888+00,0
dw_sf_3,transform_load_master_prospect,2024-12-24 16:54:47.472908+00,2024-12-24 16:54:47.724931+00,0
dw_sf_3,transform_load_master_dimcompany,2024-12-24 16:54:47.498172+00,2024-12-24 16:54:47.710161+00,0
dw_sf_3,transform_load_master_dimbroker,2024-12-24 16:54:47.57576+00,2024-12-24 16:54:47.798224+00,0
dw_sf_3,transform_load_master_dimcustomer,2024-12-24 16:54:48.297244+00,2024-12-24 16:54:48.957568+00,1
dw_sf_3,transform_load_master_dimsecurity,2024-12-24 16:54:48.327802+00,2024-12-24 16:54:52.578243+00,4
dw_sf_3,load_master_dimessages_dimcompany,2024-12-24 16:54:48.358785+00,2024-12-24 16:54:48.56917+00,0
dw_sf_3,transform_load_master_financial,2024-12-24 16:54:48.388903+00,2024-12-24 16:54:49.110982+00,1
dw_sf_3,transform_load_master_dimaccount,2024-12-24 16:54:49.476532+00,2024-12-24 16:55:22.534841+00,33
dw_sf_3,update_master_prospect,2024-12-24 16:54:49.508171+00,2024-12-24 16:54:49.929823+00,0
dw_sf_3,load_master_dimessages_dimcustomer,2024-12-24 16:54:49.540868+00,2024-12-24 16:54:49.764743+00,0
dw_sf_3,transform_load_master_factmarkethistory,2024-12-24 16:54:53.368767+00,2024-12-24 16:58:23.963162+00,211
