dag_id,task_id,start_date,end_date,duration
incremental_first_upload_sf_3,create_schema_processing,2024-12-24 17:00:49.644917+00,2024-12-24 17:00:49.883277+00,0
incremental_first_upload_sf_3,truncate_processing,2024-12-24 17:00:50.743152+00,2024-12-24 17:00:50.943636+00,0
incremental_first_upload_sf_3,load_processing,2024-12-24 17:00:51.925718+00,2024-12-24 17:00:52.305029+00,0
incremental_first_upload_sf_3,prospect,2024-12-24 17:00:52.990844+00,2024-12-24 17:00:54.535123+00,2
incremental_first_upload_sf_3,tl_master_dimcustomer,2024-12-24 17:00:53.016473+00,2024-12-24 17:00:53.214041+00,0
incremental_first_upload_sf_3,tl_master_dimaccount,2024-12-24 17:00:54.634438+00,2024-12-24 17:00:54.82245+00,0
incremental_first_upload_sf_3,update_prospect,2024-12-24 17:00:55.071105+00,2024-12-24 17:00:56.130891+00,1
incremental_first_upload_sf_3,tl_master_dimtrade,2024-12-24 17:00:56.166878+00,2024-12-24 17:00:56.4667+00,0
incremental_first_upload_sf_3,tl_master_factcashbalances,2024-12-24 17:00:57.267079+00,2024-12-24 17:00:57.524446+00,0
incremental_first_upload_sf_3,tl_master_factmarkethistory,2024-12-24 17:00:57.321153+00,2024-12-24 17:00:58.130504+00,1
incremental_first_upload_sf_3,tl_master_factholdings,2024-12-24 17:00:57.351852+00,2024-12-24 17:00:57.754865+00,0
incremental_first_upload_sf_3,tl_master_factwatches,2024-12-24 17:00:57.381586+00,2024-12-24 17:01:15.993065+00,19
incremental_first_upload_sf_4,create_schema_processing,2024-12-24 17:31:43.748446+00,2024-12-24 17:31:43.931299+00,0
incremental_first_upload_sf_4,truncate_processing,2024-12-24 17:31:44.645345+00,2024-12-24 17:31:44.866326+00,0
incremental_first_upload_sf_4,load_processing,2024-12-24 17:31:45.773426+00,2024-12-24 17:31:46.103923+00,0
incremental_first_upload_sf_4,tl_master_dimcustomer,2024-12-24 17:31:47.107946+00,2024-12-24 17:31:47.352416+00,0
incremental_first_upload_sf_4,prospect,2024-12-24 17:31:47.139455+00,2024-12-24 17:31:49.577397+00,2
incremental_first_upload_sf_4,tl_master_dimaccount,2024-12-24 17:31:48.278705+00,2024-12-24 17:31:48.480409+00,0
incremental_first_upload_sf_4,tl_master_dimtrade,2024-12-24 17:31:49.435941+00,2024-12-24 17:31:49.708445+00,0
incremental_first_upload_sf_4,tl_master_factcashbalances,2024-12-24 17:31:50.860274+00,2024-12-24 17:31:51.142908+00,0
incremental_first_upload_sf_4,tl_master_factholdings,2024-12-24 17:31:50.899144+00,2024-12-24 17:31:51.463937+00,1
incremental_first_upload_sf_4,update_prospect,2024-12-24 17:31:50.93736+00,2024-12-24 17:31:52.53596+00,2
incremental_first_upload_sf_4,tl_master_factwatches,2024-12-24 17:31:50.971314+00,2024-12-24 17:32:19.398842+00,28
incremental_first_upload_sf_4,tl_master_factmarkethistory,2024-12-24 17:31:51.060648+00,2024-12-24 17:31:52.399611+00,1
incremental_first_upload_sf_5,create_schema_processing,2024-12-24 17:58:00.00399+00,2024-12-24 17:58:00.224203+00,0
incremental_first_upload_sf_5,truncate_processing,2024-12-24 17:58:01.395253+00,2024-12-24 17:58:01.592773+00,0
incremental_first_upload_sf_5,load_processing,2024-12-24 17:58:02.506886+00,2024-12-24 17:58:02.815962+00,0
incremental_first_upload_sf_5,tl_master_dimcustomer,2024-12-24 17:58:03.854335+00,2024-12-24 17:58:04.063369+00,0
incremental_first_upload_sf_5,prospect,2024-12-24 17:58:03.879489+00,2024-12-24 17:58:08.594889+00,5
incremental_first_upload_sf_5,tl_master_dimaccount,2024-12-24 17:58:05.020761+00,2024-12-24 17:58:05.252471+00,0
incremental_first_upload_sf_5,tl_master_dimtrade,2024-12-24 17:58:06.197138+00,2024-12-24 17:58:06.483092+00,0
incremental_first_upload_sf_5,tl_master_factholdings,2024-12-24 17:58:07.337091+00,2024-12-24 17:58:07.641579+00,0
incremental_first_upload_sf_5,tl_master_factmarkethistory,2024-12-24 17:58:07.369828+00,2024-12-24 17:58:08.608684+00,1
incremental_first_upload_sf_5,tl_master_factwatches,2024-12-24 17:58:07.398974+00,2024-12-24 17:58:45.072583+00,38
incremental_first_upload_sf_5,tl_master_factcashbalances,2024-12-24 17:58:07.434845+00,2024-12-24 17:58:07.662778+00,0
incremental_first_upload_sf_5,update_prospect,2024-12-24 17:58:10.074123+00,2024-12-24 17:58:11.962109+00,2
incremental_first_upload_sf_10,create_schema_processing,2024-12-24 18:42:42.151849+00,2024-12-24 18:42:42.345922+00,0
incremental_first_upload_sf_10,truncate_processing,2024-12-24 18:42:43.276986+00,2024-12-24 18:42:43.48594+00,0
incremental_first_upload_sf_10,load_processing,2024-12-24 18:42:44.068107+00,2024-12-24 18:42:44.498577+00,0
incremental_first_upload_sf_10,prospect,2024-12-24 18:42:45.776869+00,2024-12-24 18:43:27.810165+00,42
incremental_first_upload_sf_10,tl_master_dimcustomer,2024-12-24 18:42:45.814618+00,2024-12-24 18:42:46.051124+00,0
incremental_first_upload_sf_10,tl_master_dimaccount,2024-12-24 18:42:46.987923+00,2024-12-24 18:42:47.188651+00,0
incremental_first_upload_sf_10,tl_master_dimtrade,2024-12-24 18:42:48.123618+00,2024-12-24 18:42:48.532562+00,0
incremental_first_upload_sf_10,tl_master_factcashbalances,2024-12-24 18:42:49.187056+00,2024-12-24 18:42:49.398761+00,0
incremental_first_upload_sf_10,tl_master_factholdings,2024-12-24 18:42:49.212668+00,2024-12-24 18:42:50.007319+00,1
incremental_first_upload_sf_10,tl_master_factmarkethistory,2024-12-24 18:42:49.239149+00,2024-12-24 18:42:51.788035+00,3
incremental_first_upload_sf_10,tl_master_factwatches,2024-12-24 18:42:49.267923+00,2024-12-24 18:44:20.15449+00,91
incremental_first_upload_sf_10,update_prospect,2024-12-24 18:43:28.299995+00,2024-12-24 18:43:43.36692+00,15
