dag_id,task_id,start_date,end_date,duration
incremental_second_upload_sf_3,truncate_processing_b3,2024-12-24 17:04:32.334369+00,2024-12-24 17:04:32.556876+00,0
incremental_second_upload_sf_3,load_processing_b3,2024-12-24 17:04:33.626144+00,2024-12-24 17:04:33.99215+00,0
incremental_second_upload_sf_3,tl_master_dimcustomer_b3,2024-12-24 17:04:34.679518+00,2024-12-24 17:04:34.886355+00,0
incremental_second_upload_sf_3,prospect_b3,2024-12-24 17:04:34.705564+00,2024-12-24 17:04:37.454951+00,3
incremental_second_upload_sf_3,tl_master_dimaccount_b3,2024-12-24 17:04:35.863327+00,2024-12-24 17:04:36.058804+00,0
incremental_second_upload_sf_3,tl_master_dimtrade_b3,2024-12-24 17:04:37.311602+00,2024-12-24 17:04:37.733588+00,0
incremental_second_upload_sf_3,tl_master_factcashbalances_b3,2024-12-24 17:04:38.651268+00,2024-12-24 17:04:38.879423+00,0
incremental_second_upload_sf_3,tl_master_factholdings_b3,2024-12-24 17:04:38.681887+00,2024-12-24 17:04:38.969117+00,0
incremental_second_upload_sf_3,tl_master_factwatches_b3,2024-12-24 17:04:38.707971+00,2024-12-24 17:04:56.243062+00,18
incremental_second_upload_sf_3,tl_master_factmarkethistory_b3,2024-12-24 17:04:38.735756+00,2024-12-24 17:04:39.471189+00,1
incremental_second_upload_sf_3,update_prospect_b3,2024-12-24 17:04:38.763621+00,2024-12-24 17:04:40.450665+00,2
incremental_second_upload_sf_4,truncate_processing_b3,2024-12-24 17:32:51.697473+00,2024-12-24 17:32:51.90429+00,0
incremental_second_upload_sf_4,load_processing_b3,2024-12-24 17:32:52.847512+00,2024-12-24 17:32:53.153689+00,0
incremental_second_upload_sf_4,prospect_b3,2024-12-24 17:32:54.13282+00,2024-12-24 17:33:01.826681+00,8
incremental_second_upload_sf_4,tl_master_dimcustomer_b3,2024-12-24 17:32:54.165212+00,2024-12-24 17:32:54.398018+00,0
incremental_second_upload_sf_4,tl_master_dimaccount_b3,2024-12-24 17:32:55.295206+00,2024-12-24 17:32:55.468243+00,0
incremental_second_upload_sf_4,tl_master_dimtrade_b3,2024-12-24 17:32:56.56932+00,2024-12-24 17:32:56.900883+00,0
incremental_second_upload_sf_4,tl_master_factcashbalances_b3,2024-12-24 17:32:57.723076+00,2024-12-24 17:32:57.969935+00,0
incremental_second_upload_sf_4,tl_master_factholdings_b3,2024-12-24 17:32:57.754387+00,2024-12-24 17:32:58.082581+00,0
incremental_second_upload_sf_4,tl_master_factmarkethistory_b3,2024-12-24 17:32:57.790368+00,2024-12-24 17:32:58.846437+00,1
incremental_second_upload_sf_4,tl_master_factwatches_b3,2024-12-24 17:32:57.82476+00,2024-12-24 17:33:25.783432+00,28
incremental_second_upload_sf_4,update_prospect_b3,2024-12-24 17:33:02.712145+00,2024-12-24 17:33:04.989417+00,2
incremental_second_upload_sf_5,truncate_processing_b3,2024-12-24 17:59:18.154871+00,2024-12-24 17:59:18.380161+00,0
incremental_second_upload_sf_5,load_processing_b3,2024-12-24 17:59:18.966623+00,2024-12-24 17:59:19.390764+00,0
incremental_second_upload_sf_5,prospect_b3,2024-12-24 17:59:20.528028+00,2024-12-24 17:59:37.446714+00,17
incremental_second_upload_sf_5,tl_master_dimcustomer_b3,2024-12-24 17:59:20.633437+00,2024-12-24 17:59:20.858105+00,0
incremental_second_upload_sf_5,tl_master_dimaccount_b3,2024-12-24 17:59:22.085867+00,2024-12-24 17:59:22.289245+00,0
incremental_second_upload_sf_5,tl_master_dimtrade_b3,2024-12-24 17:59:23.267232+00,2024-12-24 17:59:23.747488+00,0
incremental_second_upload_sf_5,tl_master_factmarkethistory_b3,2024-12-24 17:59:25.202267+00,2024-12-24 17:59:26.532101+00,1
incremental_second_upload_sf_5,tl_master_factholdings_b3,2024-12-24 17:59:25.234006+00,2024-12-24 17:59:25.554519+00,0
incremental_second_upload_sf_5,tl_master_factcashbalances_b3,2024-12-24 17:59:25.264718+00,2024-12-24 17:59:25.499501+00,0
incremental_second_upload_sf_5,tl_master_factwatches_b3,2024-12-24 17:59:25.297676+00,2024-12-24 18:00:02.294608+00,37
incremental_second_upload_sf_5,update_prospect_b3,2024-12-24 17:59:38.82722+00,2024-12-24 17:59:44.028028+00,5
incremental_second_upload_sf_10,truncate_processing_b3,2024-12-24 18:44:58.340926+00,2024-12-24 18:44:58.549206+00,0
incremental_second_upload_sf_10,load_processing_b3,2024-12-24 18:44:59.46481+00,2024-12-24 18:45:00.027236+00,1
incremental_second_upload_sf_10,tl_master_dimcustomer_b3,2024-12-24 18:45:00.68391+00,2024-12-24 18:45:00.994402+00,0
incremental_second_upload_sf_10,prospect_b3,2024-12-24 18:45:00.729802+00,2024-12-24 18:46:40.09253+00,99
incremental_second_upload_sf_10,tl_master_dimaccount_b3,2024-12-24 18:45:02.394467+00,2024-12-24 18:45:02.60787+00,0
incremental_second_upload_sf_10,tl_master_dimtrade_b3,2024-12-24 18:45:03.56882+00,2024-12-24 18:45:04.262114+00,1
incremental_second_upload_sf_10,tl_master_factcashbalances_b3,2024-12-24 18:45:05.719934+00,2024-12-24 18:45:05.93203+00,0
incremental_second_upload_sf_10,tl_master_factwatches_b3,2024-12-24 18:45:05.748431+00,2024-12-24 18:46:34.565559+00,89
incremental_second_upload_sf_10,tl_master_factholdings_b3,2024-12-24 18:45:05.77562+00,2024-12-24 18:45:06.186313+00,0
incremental_second_upload_sf_10,tl_master_factmarkethistory_b3,2024-12-24 18:45:05.805094+00,2024-12-24 18:45:08.467897+00,3
incremental_second_upload_sf_10,update_prospect_b3,2024-12-24 18:46:41.302233+00,2024-12-24 18:47:23.357344+00,42
